!SIL 1.0	SIL
A 1.0	A
senAyeM 1.0	s e n A y e M
senIkoM 1.0	s e n I k o M
sena 1.0	s e n a
senikoM 1.0	s e n i k o M
senxi 1.0	s e n x i
serA 1.0	s e r A
setalmeMta 1.0	s e t a l m e M t a
seto 1.0	s e t o
sevA 1.0	s e v A
sevAoM 1.0	s e v A o M
sevI 1.0	s e v I
seva 1.0	s e v a
sevaka 1.0	s e v a k a
sevena 1.0	s e v e n a
sewA 1.0	s e w A
siKa 1.0	s i K a
siMGa 1.0	s i M G a
siMGala 1.0	s i M G a l a
siMga 1.0	s i M g a
siMgalsa 1.0	s i M g a l s a
siMhA 1.0	s i M h A
siMha 1.0	s i M h a
siPAriSa 1.0	s i P A r i S a
siPesa 1.0	s i P e s a
siXI 1.0	s i X I
sicAI 1.0	s i c A I
signala 1.0	s i g n a l a
sikKa 1.0	s i k K a
sikkima 1.0	s i k k i m a
siksa 1.0	s i k s a
silasilA 1.0	s i l a s i l A
silsIlA 1.0	s i l s I l A
silsile 1.0	s i l s i l e
sinGa 1.0	s i n G a
sinemA 1.0	s i n e m A
sineta 1.0	s i n e t a
sinhA 1.0	s i n h A
sipAI 1.0	s i p A I
sipAhI 1.0	s i p A h I
sirPZa 1.0	s i r P Z a
sirPa 1.0	s i r P a
sira 1.0	s i r a
sirapa 1.0	s i r a p a
siru 1.0	s i r u
sisara 1.0	s i s a r a
sisu 1.0	s i s u
sitI 1.0	s i t I
sita 1.0	s i t a
siva 1.0	s i v a
sixXAnwa 1.0	s i x X A n w a
sixXa 1.0	s i x X a
siyAcIna 1.0	s i y A c I n a
siyAcina 1.0	s i y A c i n a
skAUca 1.0	s k A U c a
skAutsa 1.0	s k A u t s a
skIma 1.0	s k I m a
skUla 1.0	s k U l a
skora 1.0	s k o r a
skvAdrana 1.0	s k v A d r a n a
slema 1.0	s l e m a
smaraNa 1.0	s m a r a N a
smqwi 1.0	s m q w i
snAna 1.0	s n A n a
sneha 1.0	s n e h a
so 1.0	s o
soI 1.0	s o I
soMpA 1.0	s o M p A
soPtvera 1.0	s o P t v e r a
socA 1.0	s o c A
soca 1.0	s o c a
socanA 1.0	s o c a n A
sohAwa 1.0	s o h A w a
solaha 1.0	s o l a h a
somavAra 1.0	s o m a v A r a
somvAra 1.0	s o m v A r a
sonA 1.0	s o n A
sone 1.0	s o n e
soniyA 1.0	s o n i y A
soviyawa 1.0	s o v i y a w a
spEna 1.0	s p E n a
spaRta 1.0	s p a R t a
sparXA 1.0	s p a r X A
spinara 1.0	s p i n a r a
sqRti 1.0	s q R t i
srowa 1.0	s r o w a
stAka 1.0	s t A k a
steSana 1.0	s t e S a n a
stediyama 1.0	s t e d i y a m a
strigara 1.0	s t r i g a r a
studiyo 1.0	s t u d i y o
su 1.0	s u
suBAU 1.0	s u B A U
suBa 1.0	s u B a
suBaga 1.0	s u B a g a
suBaha 1.0	s u B a h a
suBaxrA 1.0	s u B a x r A
suJAva 1.0	s u J A v a
suJAvoM 1.0	s u J A v o M
suKa 1.0	s u K a
suKaxa 1.0	s u K a x a
suMxara 1.0	s u M x a r a
suPala 1.0	s u P a l a
suSrI 1.0	s u S r I
suXAra 1.0	s u X A r a
suXi 1.0	s u X i
subaha 1.0	s u b a h a
subaramaNyama 1.0	s u b a r a m a N y a m a
subeha 1.0	s u b e h a
subramaNyama 1.0	s u b r a m a N y a m a
subramaniyana 1.0	s u b r a m a n i y a n a
sucArU 1.0	s u c A r U
sucakAMka 1.0	s u c a k A M k a
sucnA 1.0	s u c n A
sugrIva 1.0	s u g r I v a
suhArwo 1.0	s u h A r w o
suhAvA 1.0	s u h A v A
sujana 1.0	s u j a n a
sukRA 1.0	s u k R A
sukRI 1.0	s u k R I
sulJAne 1.0	s u l J A n e
sulJAyA 1.0	s u l J A y A
sulJegA 1.0	s u l J e g A
sulupa 1.0	s u l u p a
sulwAna 1.0	s u l w A n a
sumIwa 1.0	s u m I w a
sumana 1.0	s u m a n a
sumiri 1.0	s u m i r i
sumiwa 1.0	s u m i w a
sunA 1.0	s u n A
sunI 1.0	s u n I
sunahu 1.0	s u n a h u
sunavAI 1.0	s u n a v A I
sunawa 1.0	s u n a w a
sune 1.0	s u n e
suni 1.0	s u n i
suniSciwa 1.0	s u n i S c i w a
sunikRiwa 1.0	s u n i k R i w a
sunu 1.0	s u n u
sunvAI 1.0	s u n v A I
sunxara 1.0	s u n x a r a
sunxarpura 1.0	s u n x a r p u r a
suprasixXa 1.0	s u p r a s i x X a
sura 1.0	s u r a
suraMga 1.0	s u r a M g a
suraMge 1.0	s u r a M g e
surakRA 1.0	s u r a k R A
surakRAkoRa 1.0	s u r a k R A k o R a
surakRIwa 1.0	s u r a k R I w a
surakRiwa 1.0	s u r a k R i w a
surawa 1.0	s u r a w a
surenxara 1.0	s u r e n x a r a
surjIwa 1.0	s u r j I w a
suvIXA 1.0	s u v I X A
suviXA 1.0	s u v i X A
suviXAoM 1.0	s u v i X A o M
svAMgA 1.0	s v A M g A
svAgawa 1.0	s v A g a w a
svAmI 1.0	s v A m I
svAsWya 1.0	s v A s W y a
svIkAra 1.0	s v I k A r a
svIkqwI 1.0	s v I k q w I
svIkriwI 1.0	s v I k r i w I
svagIwa 1.0	s v a g I w a
svarAjA 1.0	s v a r A j A
svarNa 1.0	s v a r N a
svarUpa 1.0	s v a r U p a
svara 1.0	s v a r a
svargIya 1.0	s v a r g I y a
svarupa 1.0	s v a r u p a
svasWa 1.0	s v a s W a
svawaMwra 1.0	s v a w a M w r a
svawaMwrawA 1.0	s v a w a M w r a w A
svaxeSI 1.0	s v a x e S I
svaxeSa 1.0	s v a x e S a
svayaM 1.0	s v a y a M
svayaz 1.0	s v a y a z
svayazsevI 1.0	s v a y a z s e v I
svidana 1.0	s v i d a n a
svikruwa 1.0	s v i k r u w a
swaMBa 1.0	s w a M B a
swarIya 1.0	s w a r I y a
swara 1.0	s w a r a
swiWa 1.0	s w i W a
tAIgara 1.0	t A I g a r a
tAIma 1.0	t A I m a
tAItala 1.0	t A I t a l a
tAigara 1.0	t A i g a r a
tAtA 1.0	t A t A
tAyada 1.0	t A y a d a
tAyagara 1.0	t A y a g a r a
tAygara 1.0	t A y g a r a
tI 1.0	t I
tIkA 1.0	t I k A
tIma 1.0	t I m a
tOYsa 1.0	t O Y s a
tUka 1.0	t U k a
tUrnAmeMta 1.0	t U r n A m e M t a
tUrnAmenta 1.0	t U r n A m e n t a
tUrnameMta 1.0	t U r n a m e M t a
tUta 1.0	t U t a
tUtwe 1.0	t U t w e
takarAne 1.0	t a k a r A n e
telIPona 1.0	t e l I P o n a
telIvijZana 1.0	t e l I v i j Z a n a
telIvijana 1.0	t e l I v i j a n a
teliPona 1.0	t e l i P o n a
teliPonasa 1.0	t e l i P o n a s a
telivijana 1.0	t e l i v i j a n a
tempaleta 1.0	t e m p a l e t a
tenIsa 1.0	t e n I s a
tenisa 1.0	t e n i s a
tennisa 1.0	t e n n i s a
tetramAisola 1.0	t e t r a m A i s o l a
tilI 1.0	t i l I
tima 1.0	t i m a
tipaNI 1.0	t i p a N I
tipnisa 1.0	t i p n i s a
tippaNI 1.0	t i p p a N I
tippannI 1.0	t i p p a n n I
tokiyo 1.0	t o k i y o
tololiMga 1.0	t o l o l i M g a
toma 1.0	t o m a
tonI 1.0	t o n I
tonoliMga 1.0	t o n o l i M g a
tononIla 1.0	t o n o n I l a
tononila 1.0	t o n o n i l a
toreMsko 1.0	t o r e M s k o
tornAmeMta 1.0	t o r n A m e M t a
trAMsmItara 1.0	t r A M s m I t a r a
trAMsmiSana 1.0	t r A M s m i S a n a
trAMsmitara 1.0	t r A M s m i t a r a
trAParda 1.0	t r A P a r d a
trAlI 1.0	t r A l I
trAnsmItara 1.0	t r A n s m I t a r a
traka 1.0	t r a k a
traktara 1.0	t r a k t a r a
troPI 1.0	t r o P I
trolI 1.0	t r o l I
tu 1.0	t u
tukade 1.0	t u k a d e
u 1.0	u
uBara 1.0	u B a r a
uCAla 1.0	u C A l a
uMnIsa 1.0	u M n I s a
uMnisa 1.0	u M n i s a
uPimAlaya 1.0	u P i m A l a y a
uTAkara 1.0	u T A k a r a
uTAne 1.0	u T A n e
uTAyA 1.0	u T A y A
uTAyI 1.0	u T A y I
uTAyegA 1.0	u T A y e g A
uTegA 1.0	u T e g A
uTi 1.0	u T i
uTwA 1.0	u T w A
uXGAtana 1.0	u X G A t a n a
uXara 1.0	u X a r a
ucAI 1.0	u c A I
uccAraNa 1.0	u c c A r a N a
uccAyoga 1.0	u c c A y o g a
uccAyukawa 1.0	u c c A y u k a w a
uccAyukwa 1.0	u c c A y u k w a
ucca 1.0	u c c a
uccaswarIya 1.0	u c c a s w a r I y a
uccawama 1.0	u c c a w a m a
uciwa 1.0	u c i w a
udAna 1.0	u d A n a
udAye 1.0	u d A y e
udZA 1.0	u d Z A
udZIsA 1.0	u d Z I s A
ugravAxI 1.0	u g r a v A x I
ugravAxIoM 1.0	u g r a v A x I o M
ugravAxIyo 1.0	u g r a v A x I y o
ugravAxi 1.0	u g r a v A x i
ugravAxiyoM 1.0	u g r a v A x i y o M
ugravAxyoM 1.0	u g r a v A x y o M
ujjEna 1.0	u j j E n a
ujjvala 1.0	u j j v a l a
ullaMGana 1.0	u l l a M G a n a
ulleKa 1.0	u l l e K a
ulleKanIya 1.0	u l l e K a n I y a
ulleKaniya 1.0	u l l e K a n i y a
ulleKnIya 1.0	u l l e K n I y a
ultA 1.0	u l t A
umA 1.0	u m A
umaDZa 1.0	u m a D Z a
ummIxa 1.0	u m m I x a
unIta 1.0	u n I t a
una 1.0	u n a
unaM 1.0	u n a M
unakA 1.0	u n a k A
unakI 1.0	u n a k I
unake 1.0	u n a k e
unako 1.0	u n a k o
unameM 1.0	u n a m e M
unase 1.0	u n a s e
unha 1.0	u n h a
unhe 1.0	u n h e
unheM 1.0	u n h e M
unhiM 1.0	u n h i M
unhoM 1.0	u n h o M
unhoMne 1.0	u n h o M n e
unhone 1.0	u n h o n e
unhoneM 1.0	u n h o n e M
unkA 1.0	u n k A
unkI 1.0	u n k I
unke 1.0	u n k e
unko 1.0	u n k o
unmeM 1.0	u n m e M
unnITa 1.0	u n n I T a
unnIsa 1.0	u n n I s a
unnawIsa 1.0	u n n a w I s a
unnwisa 1.0	u n n w i s a
unpara 1.0	u n p a r a
unsaTa 1.0	u n s a T a
unse 1.0	u n s e
unwIsa 1.0	u n w I s a
upAXi 1.0	u p A X i
upAXyakRa 1.0	u p A X y a k R a
upAXyakRe 1.0	u p A X y a k R e
upAsanA 1.0	u p A s a n A
upAya 1.0	u p A y a
upAyoM 1.0	u p A y o M
upAyukwoM 1.0	u p A y u k w o M
upa 1.0	u p a
upaBArwIya 1.0	u p a B A r w I y a
upaBoga 1.0	u p a B o g a
upaBogwA 1.0	u p a B o g w A
upaBogwAoM 1.0	u p a B o g w A o M
upagaraha 1.0	u p a g a r a h a
upagrahoM 1.0	u p a g r a h o M
upajAU 1.0	u p a j A U
upakaraNa 1.0	u p a k a r a N a
upalabXa 1.0	u p a l a b X a
upanyAsa 1.0	u p a n y A s a
upanyAsakAra 1.0	u p a n y A s a k A r a
uparARpawi 1.0	u p a r A R p a w i
upara 1.0	u p a r a
upasWiwa 1.0	u p a s W i w a
upasarga 1.0	u p a s a r g a
upayoga 1.0	u p a y o g a
upayukwa 1.0	u p a y u k w a
upkarNoM 1.0	u p k a r N o M
upkaraNa 1.0	u p k a r a N a
uplabXI 1.0	u p l a b X I
uplabXa 1.0	u p l a b X a
uplaba 1.0	u p l a b a
uprARtrapawi 1.0	u p r A R t r a p a w i
upyoga 1.0	u p y o g a
ura 1.0	u r a
uriye 1.0	u r i y e
ursa 1.0	u r s a
urxU 1.0	u r x U
usAmAbina 1.0	u s A m A b i n a
usI 1.0	u s I
usa 1.0	u s a
usakA 1.0	u s a k A
usake 1.0	u s a k e
usako 1.0	u s a k o
usameM 1.0	u s a m e M
usase 1.0	u s a s e
use 1.0	u s e
uskA 1.0	u s k A
uskI 1.0	u s k I
uske 1.0	u s k e
usmeM 1.0	u s m e M
usne 1.0	u s n e
usse 1.0	u s s e
uwAra 1.0	u w A r a
uwWAna 1.0	u w W A n a
uwara 1.0	u w a r a
uwpAwa 1.0	u w p A w a
uwpanna 1.0	u w p a n n a
uwpawwi 1.0	u w p a w w i
uwwAra 1.0	u w w A r a
uwwama 1.0	u w w a m a
uwwarAKaMda 1.0	u w w a r A K a M d a
uwwarAMcala 1.0	u w w a r A M c a l a
uwwarI 1.0	u w w a r I
uwwarIya 1.0	u w w a r I y a
uwwara 1.0	u w w a r a
uwwrI 1.0	u w w r I
uxAharaNa 1.0	u x A h a r a N a
uxGAtana 1.0	u x G A t a n a
uxIna 1.0	u x I n a
uxXGAtana 1.0	u x X G A t a n a
uxaGAtana 1.0	u x a G A t a n a
uxayapura 1.0	u x a y a p u r a
uxgama 1.0	u x g a m a
uxunA 1.0	u x u n A
uxxeSa 1.0	u x x e S a
uxxeSya 1.0	u x x e S y a
uxyAna 1.0	u x y A n a
uxyoga 1.0	u x y o g a
uzcAI 1.0	u z c A I
vAIPa 1.0	v A I P a
vANI 1.0	v A N I
vASA 1.0	v A S A
vASiMgtana 1.0	v A S i M g t a n a
vAhA 1.0	v A h A
vAhIta 1.0	v A h I t a
vAhaka 1.0	v A h a k a
vAhana 1.0	v A h a n a
vAhanoM 1.0	v A h a n o M
vAja 1.0	v A j a
vAjpAya 1.0	v A j p A y a
vAjpayI 1.0	v A j p a y I
vAjpaya 1.0	v A j p a y a
vAjpeyI 1.0	v A j p e y I
vAjpeya 1.0	v A j p e y a
vAkya 1.0	v A k y a
vAlA 1.0	v A l A
vAlI 1.0	v A l I
vAle 1.0	v A l e
vAlo 1.0	v A l o
vAloM 1.0	v A l o M
vAmpaMWI 1.0	v A m p a M W I
vApasI 1.0	v A p a s I
vApasa 1.0	v A p a s a
vApisa 1.0	v A p i s a
vApsI 1.0	v A p s I
vArwA 1.0	v A r w A
vArxAwa 1.0	v A r x A w a
vAsIyo 1.0	v A s I y o
vAswava 1.0	v A s w a v a
vAswavika 1.0	v A s w a v i k a
vAswe 1.0	v A s w e
vAta 1.0	v A t a
vAwAnu 1.0	v A w A n u
vAwAvaraNa 1.0	v A w A v a r a N a
vAxA 1.0	v A x A
vAxI 1.0	v A x I
vAxe 1.0	v A x e
vAxiyoM 1.0	v A x i y o M
vAya 1.0	v A y a
vAyu 1.0	v A y u
vAyusenA 1.0	v A y u s e n A
vAyxA 1.0	v A y x A
vAyxe 1.0	v A y x e
vEMkaya 1.0	v E M k a y a
vERNava 1.0	v E R N a v a
vEXAnika 1.0	v E X A n i k a
vEjFAnika 1.0	v E j F A n i k a
vEsA 1.0	v E s A
vEse 1.0	v E s e
vEvasAIka 1.0	v E v a s A I k a
vEvasAyIka 1.0	v E v a s A y I k a
vExika 1.0	v E x i k a
vExya 1.0	v E x y a
vI 1.0	v I
vInasa 1.0	v I n a s a
vIra 1.0	v I r a
vIragawi 1.0	v I r a g a w i
vIrgawI 1.0	v I r g a w I
vIrwA 1.0	v I r w A
vOYSiMgtana 1.0	v O Y S i M g t a n a
vOYta 1.0	v O Y t a
va 1.0	v a
vaMSa 1.0	v a M S a
vaSiRTa 1.0	v a S i R T a
vaXa 1.0	v a X a
vacana 1.0	v a c a n a
vacikaraNa 1.0	v a c i k a r a N a
vahAM 1.0	v a h A M
vahAz 1.0	v a h A z
vahI 1.0	v a h I
vahIM 1.0	v a h I M
vaha 1.0	v a h a
vajaha 1.0	v a j a h a
vajpAyI 1.0	v a j p A y I
vajpeyI 1.0	v a j p e y I
vajpeya 1.0	v a j p e y a
vakIla 1.0	v a k I l a
vakwAbe 1.0	v a k w A b e
vakwa 1.0	v a k w a
vakwabya 1.0	v a k w a b y a
vakwavya 1.0	v a k w a v y a
vallaBa 1.0	v a l l a B a
vana 1.0	v a n a
vanvAyeMge 1.0	v a n v A y e M g e
varIRta 1.0	v a r I R t a
varNa 1.0	v a r N a
varNana 1.0	v a r N a n a
varNiwa 1.0	v a r N i w a
varRA 1.0	v a r R A
varRIya 1.0	v a r R I y a
varRa 1.0	v a r R a
varRya 1.0	v a r R y a
varSa 1.0	v a r S a
varaxAna 1.0	v a r a x A n a
varga 1.0	v a r g a
variRTa 1.0	v a r i R T a
variRta 1.0	v a r i R t a
variyarwA 1.0	v a r i y a r w A
varksa 1.0	v a r k s a
varmA 1.0	v a r m A
varma 1.0	v a r m a
varmana 1.0	v a r m a n a
varwamAna 1.0	v a r w a m A n a
varwanI 1.0	v a r w a n I
vasIma 1.0	v a s I m a
vasIra 1.0	v a s I r a
vasaMwa 1.0	v a s a M w a
vasanwa 1.0	v a s a n w a
vasuxeva 1.0	v a s u x e v a
vaswI 1.0	v a s w I
vaswuoM 1.0	v a s w u o M
vavAnAcaraNa 1.0	v a v A n A c a r a N a
vayAlIsa 1.0	v a y A l I s a
vayAna 1.0	v a y A n a
vayakwa 1.0	v a y a k w a
vayu 1.0	v a y u
ve 1.0	v e
veM 1.0	v e M
veNuXara 1.0	v e N u X a r a
vega 1.0	v e g a
velPeyara 1.0	v e l P e y a r a
venkAyA 1.0	v e n k A y A
venkEyyA 1.0	v e n k E y y A
vewana 1.0	v e w a n a
vexa 1.0	v e x a
vexoM 1.0	v e x o M
vhIla 1.0	v h I l a
viBAga 1.0	v i B A g a
viBAjana 1.0	v i B A j a n a
viBAjiwa 1.0	v i B A j i w a
viBInna 1.0	v i B I n n a
viBinna 1.0	v i B i n n a
viPala 1.0	v i P a l a
viRAxa 1.0	v i R A x a
viRNu 1.0	v i R N u
viRPotakoM 1.0	v i R P o t a k o M
viRaya 1.0	v i R a y a
viRayoM 1.0	v i R a y o M
viReSa 1.0	v i R e S a
viReSako 1.0	v i R e S a k o
viSAla 1.0	v i S A l a
viSawa 1.0	v i S a w a
viSeRa 1.0	v i S e R a
viSeRagyA 1.0	v i S e R a g y A
viSiRta 1.0	v i S i R t a
viSrAma 1.0	v i S r A m a
viSvAmiwra 1.0	v i S v A m i w r a
viSvAsGAwa 1.0	v i S v A s G A w a
viSvAsa 1.0	v i S v A s a
viSva 1.0	v i S v a
viSvavixyAlaya 1.0	v i S v a v i x y A l a y a
viXAna 1.0	v i X A n a
viXAoM 1.0	v i X A o M
viXAyakoM 1.0	v i X A y a k o M
viXIyoM 1.0	v i X I y o M
viXarBa 1.0	v i X a r B a
viXarba 1.0	v i X a r b a
viXeyaka 1.0	v i X e y a k a
viXvasawa 1.0	v i X v a s a w a
viXyUwa 1.0	v i X y U w a
vicAra 1.0	v i c A r a
vicAraXArA 1.0	v i c A r a X A r A
vicAraXIna 1.0	v i c A r a X I n a
vicAriwa 1.0	v i c A r i w a
vicAroM 1.0	v i c A r o M
viciwra 1.0	v i c i w r a
vidZiyoM 1.0	v i d Z i y o M
vigyapwI 1.0	v i g y a p w I
vigyapwi 1.0	v i g y a p w i
vihAra 1.0	v i h A r a
vijFAna 1.0	v i j F A n a
vijFapwi 1.0	v i j F a p w i
vija 1.0	v i j a
vijaya 1.0	v i j a y a
vikAsa 1.0	v i k A s a
vikI 1.0	v i k I
vikIpIdiyA 1.0	v i k I p I d i y A
vikRawa 1.0	v i k R a w a
vikalAMgo 1.0	v i k a l A M g o
vikalpa 1.0	v i k a l p a
vikasiwa 1.0	v i k a s i w a
viketa 1.0	v i k e t a
viki 1.0	v i k i
vikipIdiyA 1.0	v i k i p I d i y A
vikiyAwrA 1.0	v i k i y A w r A
viklAMga 1.0	v i k l A M g a
vikramAxiwya 1.0	v i k r a m A x i w y a
vikrama 1.0	v i k r a m a
vikruwa 1.0	v i k r u w a
viksIwa 1.0	v i k s I w a
vimAna 1.0	v i m A n a
vimAno 1.0	v i m A n o
vimAnoM 1.0	v i m A n o M
vimarSa 1.0	v i m a r S a
vimbaldana 1.0	v i m b a l d a n a
vinoxa 1.0	v i n o x a
vipakRI 1.0	v i p a k R I
vipakRa 1.0	v i p a k R a
virA 1.0	v i r A
virAXAra 1.0	v i r A X A r a
virAma 1.0	v i r A m a
virAsawa 1.0	v i r A s a w a
viraha 1.0	v i r a h a
virala 1.0	v i r a l a
viroXI 1.0	v i r o X I
viroXa 1.0	v i r o X a
viruXa 1.0	v i r u X a
visPoto 1.0	v i s P o t o
visPotoM 1.0	v i s P o t o M
visPotokoM 1.0	v i s P o t o k o M
visWApiwa 1.0	v i s W A p i w a
viskriwa 1.0	v i s k r i w a
vismaya 1.0	v i s m a y a
visvala 1.0	v i s v a l a
viswAra 1.0	v i s w A r a
viswqwa 1.0	v i s w q w a
viswriwa 1.0	v i s w r i w a
vivAha 1.0	v i v A h a
vivAxa 1.0	v i v A x a
vivecana 1.0	v i v e c a n a
viveka 1.0	v i v e k a
viwIya 1.0	v i w I y a
viwa 1.0	v i w a
viwaraNa 1.0	v i w a r a N a
viwwIya 1.0	v i w w I y a
vixAI 1.0	v i x A I
vixeRa 1.0	v i x e R a
vixeSI 1.0	v i x e S I
vixeSa 1.0	v i x e S a
vixrohIyoM 1.0	v i x r o h I y o M
vixroha 1.0	v i x r o h a
vixvAna 1.0	v i x v A n a
vixvAnoM 1.0	v i x v A n o M
vixyA 1.0	v i x y A
vixyuwa 1.0	v i x y u w a
viyoga 1.0	v i y o g a
vo 1.0	v o
voSiMgtana 1.0	v o S i M g t a n a
voldemOYrta 1.0	v o l d e m O Y r t a
volteja 1.0	v o l t e j a
vorna 1.0	v o r n a
vorne 1.0	v o r n e
vqkRa 1.0	v q k R a
vqxXi 1.0	v q x X i
vrawI 1.0	v r a w I
vrekmena 1.0	v r e k m e n a
vriXi 1.0	v r i X i
vriwwa 1.0	v r i w w a
vrukRa 1.0	v r u k R a
vruwa 1.0	v r u w a
vyAja 1.0	v y A j a
vyAkaraNa 1.0	v y A k a r a N a
vyApAra 1.0	v y A p A r a
vyApaka 1.0	v y A p a k a
vyApwa 1.0	v y A p w a
vyAsa 1.0	v y A s a
vyEta 1.0	v y E t a
vyaMgya 1.0	v y a M g y a
vyaMjana 1.0	v y a M j a n a
vyakwI 1.0	v y a k w I
vyakwa 1.0	v y a k w a
vyakwabe 1.0	v y a k w a b e
vyakwavya 1.0	v y a k w a v y a
vyakwi 1.0	v y a k w i
vyakwigawa 1.0	v y a k w i g a w a
vyakwiyoM 1.0	v y a k w i y o M
vyaswa 1.0	v y a s w a
vyavAhAra 1.0	v y a v A h A r a
vyavasAya 1.0	v y a v a s A y a
vyavasWA 1.0	v y a v a s W A
vyavaswA 1.0	v y a v a s w A
vyavhAra 1.0	v y a v h A r a
wA 1.0	w A
wAMwrika 1.0	w A M w r i k a
wAjA 1.0	w A j A
wAjamahala 1.0	w A j a m a h a l a
wAjevAlA 1.0	w A j e v A l A
wAkI 1.0	w A k I
wAka 1.0	w A k a
wAkaweM 1.0	w A k a w e M
wAki 1.0	w A k i
wAlA 1.0	w A l A
wAlAba 1.0	w A l A b a
wAlIbAna 1.0	w A l I b A n a
wAlika 1.0	w A l i k a
wAlmela 1.0	w A l m e l a
wApUrNa 1.0	w A p U r N a
wApa 1.0	w A p a
wApamAna 1.0	w A p a m A n a
wApmAna 1.0	w A p m A n a
wArIKa 1.0	w A r I K a
wArIPa 1.0	w A r I P a
wArapito 1.0	w A r a p i t o
wAriKa 1.0	w A r i K a
wAriKoM 1.0	w A r i K o M
wAwA 1.0	w A w A
wAwa 1.0	w A w a
wE 1.0	w E
wEnAwI 1.0	w E n A w I
wEnAwa 1.0	w E n A w a
wEyArI 1.0	w E y A r I
wEyAra 1.0	w E y A r a
wEyAriyAM 1.0	w E y A r i y A M
wEyyAriyAM 1.0	w E y y A r i y A M
wI 1.0	w I
wIna 1.0	w I n a
wInoM 1.0	w I n o M
wInsO 1.0	w I n s O
wIraWa 1.0	w I r a W a
wIsa 1.0	w I s a
wIsarA 1.0	w I s a r A
wIsare 1.0	w I s a r e
wIsrI 1.0	w I s r I
wIsre 1.0	w I s r e
wIvrawA 1.0	w I v r a w A
wO 1.0	w O
wOpcI 1.0	w O p c I
wOra 1.0	w O r a
wU 1.0	w U
wUM 1.0	w U M
waBI 1.0	w a B I
waMga 1.0	w a M g a
waMjAniyA 1.0	w a M j A n i y A
waMva 1.0	w a M v a
waPrI 1.0	w a P r I
waWA 1.0	w a W A
waWa 1.0	w a W a
waWya 1.0	w a W y a
waWyoM 1.0	w a W y o M
wabAha 1.0	w a b A h a
wabAxlA 1.0	w a b A x l A
waba 1.0	w a b a
wadZke 1.0	w a d Z k e
wahawa 1.0	w a h a w a
wahaz 1.0	w a h a z
waka 1.0	w a k a
wakanIkI 1.0	w a k a n I k I
wala 1.0	w a l a
wale 1.0	w a l e
wama 1.0	w a m a
wamila 1.0	w a m i l a
wamilanAdU 1.0	w a m i l a n A d U
wamilnAdu 1.0	w a m i l n A d u
wanAva 1.0	w a n A v a
wana 1.0	w a n a
wapa 1.0	w a p a
warAI 1.0	w a r A I
warAIvAle 1.0	w a r A I v A l e
warI 1.0	w a r I
warIke 1.0	w a r I k e
warIko 1.0	w a r I k o
waraPa 1.0	w a r a P a
waraha 1.0	w a r a h a
warkIba 1.0	w a r k I b a
wasyo 1.0	w a s y o
watIya 1.0	w a t I y a
wata 1.0	w a t a
watabaMXo 1.0	w a t a b a M X o
watabaMXoM 1.0	w a t a b a M X o M
watavarwIya 1.0	w a t a v a r w I y a
watorwama 1.0	w a t o r w a m a
watvarwI 1.0	w a t v a r w I
watvarwIya 1.0	w a t v a r w I y a
wava 1.0	w a v a
wawkAlIna 1.0	w a w k A l I n a
wawkAla 1.0	w a w k A l a
wawva 1.0	w a w v a
wayArI 1.0	w a y A r I
waya 1.0	w a y a
we 1.0	w e
weIsa 1.0	w e I s a
weM 1.0	w e M
weMwAlIsa 1.0	w e M w A l I s a
wehAsika 1.0	w e h A s i k a
wehI 1.0	w e h I
wehi 1.0	w e h i
wehiM 1.0	w e h i M
weisa 1.0	w e i s a
wejI 1.0	w e j I
weja 1.0	w e j a
wejpura 1.0	w e j p u r a
wela 1.0	w e l a
welaMgAnA 1.0	w e l a M g A n A
weraha 1.0	w e r a h a
werahvIM 1.0	w e r a h v I M
wesila 1.0	w e s i l a
wevisa 1.0	w e v i s a
wewAlIsa 1.0	w e w A l I s a
wewAlisa 1.0	w e w A l i s a
wibbawa 1.0	w i b b a w a
wijOriyo 1.0	w i j O r i y o
wilaka 1.0	w i l a k a
winsO 1.0	w i n s O
wirapaMve 1.0	w i r a p a M v e
wisa 1.0	w i s a
wiwodI 1.0	w i w o d I
wo 1.0	w o
wodZa 1.0	w o d Z a
woebA 1.0	w o e b A
wohrA 1.0	w o h r A
wololiMga 1.0	w o l o l i M g a
wonoliMga 1.0	w o n o l i M g a
wopa 1.0	w o p a
wopcI 1.0	w o p c I
wopeM 1.0	w o p e M
wopoM 1.0	w o p o M
wora 1.0	w o r a
woyabA 1.0	w o y a b A
wqwIya 1.0	w q w I y a
wresaTa 1.0	w r e s a T a
wripurA 1.0	w r i p u r A
wuJe 1.0	w u J e
wulanA 1.0	w u l a n A
wulasIxAsa 1.0	w u l a s I x A s a
wuma 1.0	w u m a
wumhAre 1.0	w u m h A r e
wumha 1.0	w u m h a
wumhahi 1.0	w u m h a h i
wuraMwa 1.0	w u r a M w a
wuranwa 1.0	w u r a n w a
wurawuka 1.0	w u r a w u k a
wurkI 1.0	w u r k I
wurwuka 1.0	w u r w u k a
wutwe 1.0	w u t w e
wyAga 1.0	w y A g a
wyohAra 1.0	w y o h A r a
xADZIkeSa 1.0	x A D Z I k e S a
xAKila 1.0	x A K i l a
xAMgI 1.0	x A M g I
xAna 1.0	x A n a
xArSanika 1.0	x A r S a n i k a
xArjIliMga 1.0	x A r j I l i M g a
xAvA 1.0	x A v A
